text,label
"при себе или где-нибудь там, поближе","при себе или где-нибудь там, поближе"
"майор ходил перед фронтом, и не переставая и не j,hfofz внимания на крик,","майор ходил перед фронтом, и не переставая и не обращая внимания на крик,"
"увидит гроб, то, что увидит его, князя андрея, в этом последнем, сливающемся, смутном квадрате. но","увидит гроб, то, что увидит его, князя андрея, в этом последнем, сливающемся, смутном квадрате. но"
"чтобы подождать. хуже того будет,","чтобы подождать. хуже того будет,"
"jacquot… давно. – вы ошибаетесь, – неторопливо, с смелою и","jacquot… давно. – вы ошибаетесь, – неторопливо, с смелою и"
ytcrjkmrj раз говоренную им фразу. –,несколько раз говоренную им фразу. –
"голос кутузова, gtht,bdftvsq другим, незнакомым голосом. по звуку этих голосов, по","голос кутузова, перебиваемый другим, незнакомым голосом. по звуку этих голосов, по"
"анною михайловной, и не показали ни малейшего удивления при виде их. – pltcm на половину","анною михайловной, и не показали ни малейшего удивления при виде их. – здесь на половину"
"ридикюле то, что она искала, она gthtlfkf","ридикюле то, что она искала, она передала"
устало b лениво сел на диван. ему,устало и лениво сел на диван. ему
в петербурге b в москве дом их,в петербурге и в москве дом их
b невыгоды булонского предприятия. лакей пришел,и невыгоды булонского предприятия. лакей пришел
взяла письмо и стала читать его. jyf,взяла письмо и стала читать его. она
"почувствовал, как под влиянием 'nb[ жарких лучей любви наташи,","почувствовал, как под влиянием этих жарких лучей любви наташи,"
",skb так необыкновенно гладки, как будто они были сделаны","были так необыкновенно гладки, как будто они были сделаны"
"гогенлоэ и еще пршпршипрш, как все gjkmcrbt имена (нем. и фр.).] – taisez-vous, mauvaise","гогенлоэ и еще пршпршипрш, как все польские имена (нем. и фр.).] – taisez-vous, mauvaise"
epoux. j’ai recu une lettre de mon frere qui m’annonce son arrivee,epoux. j’ai recu une lettre de mon frere qui m’annonce son arrivee
"князя андрея; он решительно, pdjyrj и неприятно продолжал: – я получил отказ от графини","князя андрея; он решительно, звонко и неприятно продолжал: – я получил отказ от графини"
"xedcnde. в своей душе, что я составляю часть","чувствую в своей душе, что я составляю часть"
"схватила обе руки графини, поцеловала на одной кость мизинца – июнь, и продолжала целовать июль,","схватила обе руки графини, поцеловала на одной кость мизинца – июнь, и продолжала целовать июль,"
жюли. я не могу ghbrfpsdfnm,жюли. я не могу приказывать
к dfv обожание. побудьте с ней минут десять.],к вам обожание. побудьте с ней минут десять.]
"pf ним бессонной, взволнованной ночи,","за ним бессонной, взволнованной ночи,"
"vous venez ву dire,[155 - прекрасно! прекрасно то, что","vous venez de dire,[155 - прекрасно! прекрасно то, что"
"– вдруг заговорила наташа, и опять зарыдала. – я умру, дожидаясь года: это нельзя, это","– вдруг заговорила наташа, и опять зарыдала. – я умру, дожидаясь года: это нельзя, это"
георгия самому храброму из французских гвардейцев. нельзя же! должен ответить тем же. борис с,георгия самому храброму из французских гвардейцев. нельзя же! должен ответить тем же. борис с
"александр внимательно слушал то, что ему говорили, и, наклонив голову, приятно улыбнулся. – a celui","александр внимательно слушал то, что ему говорили, и, наклонив голову, приятно улыбнулся. – a celui"
баритоном. uecfhs столпились и дружно отвечали громким криком. поздно,баритоном. гусары столпились и дружно отвечали громким криком. поздно
"и как вспомнил всех! никого не забыл. я всегда, всегда говорила, еще когда он","и как вспомнил всех! никого не забыл. я всегда, всегда говорила, еще когда он"
"дай бог, – прибавил он, не замечая насмешливой улыбки гостьи. большие заговорили","дай бог, – прибавил он, не замечая насмешливой улыбки гостьи. большие заговорили"
"dblz свое влияние на этих трех женщин. кроме того,","видя свое влияние на этих трех женщин. кроме того,"
"слышно было, цель присылки савари состояла в предложении мира и в предложении свидания bvgthfnjhf","слышно было, цель присылки савари состояла в предложении мира и в предложении свидания императора"
просила? – князя василия. он был очень,просила? – князя василия. он был очень
"землянка была устроена следующим, djitlibv тогда в моду, способом: прорывалась канава в полтора аршина","землянка была устроена следующим, вошедшим тогда в моду, способом: прорывалась канава в полтора аршина"
в день именин элен у ryzpz василья ужинало,в день именин элен у князя василья ужинало
"rjnjhst могли быть ему полезными,","которые могли быть ему полезными,"
"и все знавшие их уважали ljkj[jdf больше, чем анатоля.","и все знавшие их уважали долохова больше, чем анатоля."
"князю андрею, и опять она заставала себя lj","князю андрею, и опять она заставала себя до"
ennemies superieures а cause d’une de nos belles manoeuvres qui nous sauvait de lui. boukshevden,ennemies superieures а cause d’une de nos belles manoeuvres qui nous sauvait de lui. boukshevden
fort que cela n’oblige une moitie de l’armee de fusiller l’autre».[417 - фельдмаршал cthlbncz на,fort que cela n’oblige une moitie de l’armee de fusiller l’autre».[417 - фельдмаршал сердится на
получивший от vtyz никакого титула.,получивший от меня никакого титула.
"теплых сапогах. и какой-то знакомый, как показалось княжне марье, голос говорил что-то.","теплых сапогах. и какой-то знакомый, как показалось княжне марье, голос говорил что-то."
"андрея: все было ново, чисто, в суконных чехлах, старательно завязано тесемочками. в vbyens","андрея: все было ново, чисто, в суконных чехлах, старательно завязано тесемочками. в минуты"
"главнокомандующий. ghjqlz мимо экипажа кутузова,","главнокомандующий. пройдя мимо экипажа кутузова,"
"шляпе, надетой с поля, своим приятным лицом и звучным ytuhjvrbv голосом привлекал","шляпе, надетой с поля, своим приятным лицом и звучным негромким голосом привлекал"
"надо объясниться… – я это знаю, и","надо объясниться… – я это знаю, и"
в моем доме любовникам свиданья назначать! притворяться-то нечего.,в моем доме любовникам свиданья назначать! притворяться-то нечего.
"но, боже мой, чего бы я не дал теперь, чтобы","но, боже мой, чего бы я не дал теперь, чтобы"
у которых она стояла в москве и у которых с,у которых она стояла в москве и у которых с
"прошел мимо. hjcnjd ехал шагом, не зная, зачем и к","прошел мимо. ростов ехал шагом, не зная, зачем и к"
"поразила императора александра, подъехал и салютовал ему. неприятное впечатление, только","поразила императора александра, подъехал и салютовал ему. неприятное впечатление, только"
и cvjnhtkf на морозный лунный свет сквозь замерзшие окна. xiii вскоре,и смотрела на морозный лунный свет сквозь замерзшие окна. xiii вскоре
"при виде себя. – ну, и хорошо. и никого мне не нужно».","при виде себя. – ну, и хорошо. и никого мне не нужно»."
"к свите, назначенной состоять в тильзите. – je voudrais voir le grand","к свите, назначенной состоять в тильзите. – je voudrais voir le grand"
"душе болконского. – ежели из отряда tuj придет завтра одна десятая часть, я буду бога","душе болконского. – ежели из отряда его придет завтра одна десятая часть, я буду бога"
"палатах, был маленький, [eljq человек без руки, в колпаке","палатах, был маленький, худой человек без руки, в колпаке"
"и после того странного чувства неудовлетворения в сравнении с тем, чего","и после того странного чувства неудовлетворения в сравнении с тем, чего"
кусщттфшы au caillou que tu as,reconnais au caillou que tu as
"ревом, похожим на плач, hfcnthzyyj выскочила одна, другая, третья гончая, и","ревом, похожим на плач, растерянно выскочила одна, другая, третья гончая, и"
мученической cvthnm. и причисляли его к лику,мученической смертью и причисляли его к лику
"молодая девушка без определенного положения в свете, без родных и друзей и даже родины","молодая девушка без определенного положения в свете, без родных и друзей и даже родины"
"pfcvtzkfcm добрым, неожиданным старушечьим смехом. – полноте смеяться, перестаньте, – закричала наташа. – всю","засмеялась добрым, неожиданным старушечьим смехом. – полноте смеяться, перестаньте, – закричала наташа. – всю"
их и потому их не стоите. и она улыбнулась своею восторженною улыбкой.,их и потому их не стоите. и она улыбнулась своею восторженною улыбкой.
"ни с кем из своих знакомых, отослав, наконец, все сорок","ни с кем из своих знакомых, отослав, наконец, все сорок"
он не чувствовал теперь ничего общего. – мы поедем после обеда. а,он не чувствовал теперь ничего общего. – мы поедем после обеда. а
"учтивостью перед французами и сдаются по gthdjve требованию. начальник гарнизона глогау, с десятью","учтивостью перед французами и сдаются по первому требованию. начальник гарнизона глогау, с десятью"
"в самую середину ue, поцеловала его",в самую середину губ поцеловала его
"несколько часов или всю жизнь на этой станции. смотритель, смотрительша, камердинер, баба с торжковским шитьем","несколько часов или всю жизнь на этой станции. смотритель, смотрительша, камердинер, баба с торжковским шитьем"
"загибая палец, – поучения и так далее, то есть ты хочешь","загибая палец, – поучения и так далее, то есть ты хочешь"
тотчас ;t он вспомнил данное князю андрею честное,тотчас же он вспомнил данное князю андрею честное
он вздохнул b прибавил: – le sort de,он вздохнул и прибавил: – le sort de
"киевские мужики, которым ты хочешь делать добро. и он gjcvjnhtk на пьера насмешливо вызывающим","киевские мужики, которым ты хочешь делать добро. и он посмотрел на пьера насмешливо вызывающим"
"все. но говорили это обыкновенно уже гораздо после того, как замолкал ее голос. в nj","все. но говорили это обыкновенно уже гораздо после того, как замолкал ее голос. в то"
"увидел ytghbzntkz и сделал первый выстрел, и что клочок поля, на котором он стоял,","увидел неприятеля и сделал первый выстрел, и что клочок поля, на котором он стоял,"
"родство? ах, лучше не думать j, этом, не думать до его приезда!» –","родство? ах, лучше не думать об этом, не думать до его приезда!» –"
"его. он закрыл глаза, gjnth себе","его. он закрыл глаза, потер себе"
"между ним и элен образовалась какая-то связь, признаваемая другими людьми, и эта мысль в","между ним и элен образовалась какая-то связь, признаваемая другими людьми, и эта мысль в"
была отведена для него. в комнате видна была разбитая rhjdfnm и раскрытые,была отведена для него. в комнате видна была разбитая кровать и раскрытые
"к нему с борисом и прямо скажу, d чем дело. пускай обо мне думают, что","к нему с борисом и прямо скажу, в чем дело. пускай обо мне думают, что"
"– ну, мой милый, – шутливо сказал князь василий, – скажи","– ну, мой милый, – шутливо сказал князь василий, – скажи"
b пощупал его. он горел. – убирайтесь вы с вашим карлом,и пощупал его. он горел. – убирайтесь вы с вашим карлом
"старался отвернуться от них, брался за книгу, bkb спешил в клуб, или к","старался отвернуться от них, брался за книгу, или спешил в клуб, или к"
она быстрым и грубым ldb;tybtv головы перехватила его губы и,она быстрым и грубым движением головы перехватила его губы и
"неясно, не глядя в лицо собеседника, не отвечая на делаемые tve вопросы, был испачкан грязью","неясно, не глядя в лицо собеседника, не отвечая на делаемые ему вопросы, был испачкан грязью"
"будто о том обязательстве, которое он взял на себя в отношении","будто о том обязательстве, которое он взял на себя в отношении"
– элен! – сказал он,– элен! – сказал он
"опустив глаза, но искоса поглядывая","опустив глаза, но искоса поглядывая"
"как увидел входившего к нему молодого, стройного и красивого офицера. он остановился. пьер оставил","как увидел входившего к нему молодого, стройного и красивого офицера. он остановился. пьер оставил"
"и телянина, и всю свою историю с теляниным и богданычем. вся эта","и телянина, и всю свою историю с теляниным и богданычем. вся эта"
выказать свое презрение к диспозиции bkb,выказать свое презрение к диспозиции или
"не слыхала того, что он сказал.","не слыхала того, что он сказал."
"тем свободнее было мужчинам обращаться с нею и, не принимая yf себя","тем свободнее было мужчинам обращаться с нею и, не принимая на себя"
"тому назад, и потому, когда djikf","тому назад, и потому, когда вошла"
"дала судьба таких двух славных детей (исключая анатоля, вашего меньшого, я его не люблю, –","дала судьба таких двух славных детей (исключая анатоля, вашего меньшого, я его не люблю, –"
"задерживать их, сколько мог. сам ;t кутузов","задерживать их, сколько мог. сам же кутузов"
"rfvpjk и подпершись руками в бока, перед столом, на угол которого","камзол и подпершись руками в бока, перед столом, на угол которого"
m’aie pas fait вг mal.[375 -,m’aie pas fait du mal.[375 -
"интересов, в leit его немалое","интересов, в душе его немалое"
"ко всем министрам, ко всей знати, со всеми умеешь обойтись, удивляюсь! ну, как же","ко всем министрам, ко всей знати, со всеми умеешь обойтись, удивляюсь! ну, как же"
"не знал, xnj священник, встретивший его с крестом, отягощал мужиков","не знал, что священник, встретивший его с крестом, отягощал мужиков"
"уже наслаждался этим счастием, когда dlheu являлся маленький наполеон с своим безучастным, ограниченным и счастливым","уже наслаждался этим счастием, когда вдруг являлся маленький наполеон с своим безучастным, ограниченным и счастливым"
"делал это против воли. бега, английский клуб, кутеж с денисовым, gjtplrf туда – это было","делал это против воли. бега, английский клуб, кутеж с денисовым, поездка туда – это было"
"– говорил кутузов с приятным изяществом выражений и интонации, pfcnfdkzdibv вслушиваться в каждое","– говорил кутузов с приятным изяществом выражений и интонации, заставлявшим вслушиваться в каждое"
"отцом к ней поедешь, да ghbkfcrfqcz хорошенько: ты","отцом к ней поедешь, да приласкайся хорошенько: ты"
"составляет достоинство мужчины, – ein","составляет достоинство мужчины, – ein"
"он bcgsnsdfk чувство, подобное тому, которое он испытывал, подъезжая к","он испытывал чувство, подобное тому, которое он испытывал, подъезжая к"
"отказа был анатоль курагин, с которым сводила tt жена пьера и с которым","отказа был анатоль курагин, с которым сводила ее жена пьера и с которым"
времена своей любви r ней;,времена своей любви к ней;
j’adore дуы petites filles:[502 - я обожаю девочек.] сейчас потеряется.,j’adore les petites filles:[502 - я обожаю девочек.] сейчас потеряется.
"распространившимся по войскам сознанием, что ,skj опоздано, и,","распространившимся по войскам сознанием, что было опоздано, и,"
"скучного дня, dj время которого князя андрея","скучного дня, во время которого князя андрея"
за жарким подали шампанское. гости dcnfkb,за жарким подали шампанское. гости встали
"это время с ротой. гусарский корнет из свиты кутузова,","это время с ротой. гусарский корнет из свиты кутузова,"
"бить ct,z ладонью по коленке.",бить себя ладонью по коленке.
"своим cj,cndtyysv бессилием. неожиданно, при виде этой улыбки, пьер почувствовал","своим собственным бессилием. неожиданно, при виде этой улыбки, пьер почувствовал"
"хорош? – jxtym хорош. – ну,","хорош? – очень хорош. – ну,"
"пожалуйте, приказано привесть. – курагин! назад!","пожалуйте, приказано привесть. – курагин! назад!"
"минутного молчания продолжал он, опять вставая и начиная ходить, –","минутного молчания продолжал он, опять вставая и начиная ходить, –"
"hfp почувствовал и узнал, до какой степени сильна была","раз почувствовал и узнал, до какой степени сильна была"
"оживленное, с блестящими глазами лицо, gjlcrfrfkf к ним, сопутствуемая","оживленное, с блестящими глазами лицо, подскакала к ним, сопутствуемая"
"и t. не было уже никаких преград, кроме преград","и ею не было уже никаких преград, кроме преград"
"себя cdzpfk с нею, зачем я","себя связал с нею, зачем я"
'nj прелестно. – il y a quelque chose de si ravissant dans,это прелестно. – il y a quelque chose de si ravissant dans
"изволил сказать. на следующем смотру,","изволил сказать. на следующем смотру,"
"находившийся адъютантом у очень важного лица. градус политического термометра, указанный yf","находившийся адъютантом у очень важного лица. градус политического термометра, указанный на"
за тучами; впереди ростова показались,за тучами; впереди ростова показались
"jghfdbkcz на седле и, чувствуя","оправился на седле и, чувствуя"
"самым приятным и гостеприимным домом. кроме званых вечеров и обедов, каждый день у карагиных","самым приятным и гостеприимным домом. кроме званых вечеров и обедов, каждый день у карагиных"
"ней полчаса, ничего не сказав j князе андрее. «ведь я не могла же","ней полчаса, ничего не сказав о князе андрее. «ведь я не могла же"
"родной прекрасный. но ты знаешь,","родной прекрасный. но ты знаешь,"
"голову.] князь андрей усмехнулся, прямо глядя в лицо анны павловны. – «dieu","голову.] князь андрей усмехнулся, прямо глядя в лицо анны павловны. – «dieu"
"ложечкой уж заболело. – ну, gjkyj вам, – проговорил","ложечкой уж заболело. – ну, полно вам, – проговорил"
"что я прошу его простить, простить, простить меня за все… –","что я прошу его простить, простить, простить меня за все… –"
"фигуры и даже лица. это были наши кавалергарды, шедшие в атаку на французскую кавалерию,","фигуры и даже лица. это были наши кавалергарды, шедшие в атаку на французскую кавалерию,"
дни b ночи заставлял себя,дни и ночи заставлял себя
"ничего, – продолжал он. – велят нам evbhfnm – так","ничего, – продолжал он. – велят нам умирать – так"
"ah! andre, je ne vous voyais pas.[208 -","ah! andre, je ne vous voyais pas.[208 -"
"la ауььу est la compagne de l’homme,[262 - женщина –","la femme est la compagne de l’homme,[262 - женщина –"
"желая взять что-то. лица его свиты, догадавшись в ne же секунду, в чем","желая взять что-то. лица его свиты, догадавшись в ту же секунду, в чем"
выскочил из саней и побежал в сени.,выскочил из саней и побежал в сени.
"поправился пьер) жить для других, только теперь я","поправился пьер) жить для других, только теперь я"
"и мы будете посмотрейть, что этот позиция никуда не годный. я не хочу истребляйть","и мы будете посмотрейть, что этот позиция никуда не годный. я не хочу истребляйть"
"несмотря на это, или скорее вследствие этого, на другой день, пятнадцатого числа, он после","несмотря на это, или скорее вследствие этого, на другой день, пятнадцатого числа, он после"
"общее в то время в москве чувство обожания к императору александру павловичу, которому","общее в то время в москве чувство обожания к императору александру павловичу, которому"
"дело марш! отворите-ка дверь-то, – крикнул он. – что ж затворили! – дверь","дело марш! отворите-ка дверь-то, – крикнул он. – что ж затворили! – дверь"
себе воображать состояние своего внутреннего xtkjdtrf и осенившую меня милость,себе воображать состояние своего внутреннего человека и осенившую меня милость
"существование случайностям войны. дай бог, чтобы корсиканское чудовище, которое возмущает спокойствие","существование случайностям войны. дай бог, чтобы корсиканское чудовище, которое возмущает спокойствие"
волнения и стараясь всеми силами только скрыть его. и это-то была та,волнения и стараясь всеми силами только скрыть его. и это-то была та
"он ndthlj верил, что найдет возрождение к новой жизни.","он твердо верил, что найдет возрождение к новой жизни."
"– crfpfk илья андреич, радостно и гордо","– сказал илья андреич, радостно и гордо"
"за десять верст от нас, bkb он был","за десять верст от нас, или он был"
вашему сиятельству? князь повернулся к управляющему и нахмуренными ukfpfvb уставился на него. – что? министр?,вашему сиятельству? князь повернулся к управляющему и нахмуренными глазами уставился на него. – что? министр?
"несколько виноватым видом, как и всегда. – ну,","несколько виноватым видом, как и всегда. – ну,"
"счастливом расположении духа, в котором все кажется возможным и все","счастливом расположении духа, в котором все кажется возможным и все"
"ими так, xnj, они того не","ими так, чтоб они того не"
"какую-то бумагу в пользу княжны. князь василий решил, что эту кость, вексель в тридцать тысяч,","какую-то бумагу в пользу княжны. князь василий решил, что эту кость, вексель в тридцать тысяч,"
"в это dhtvz в лесу, почти сзади их,","в это время в лесу, почти сзади их,"
"василий сел в зале один на стул, закинув dscjrj","василий сел в зале один на стул, закинув высоко"
"vfntvfnbxtcrbt уроки и только по утрам, сопутствуемая кормилицей, с маленьким","математические уроки и только по утрам, сопутствуемая кормилицей, с маленьким"
"только потому, что уже не было потемкиных и суворовых противопоставить","только потому, что уже не было потемкиных и суворовых противопоставить"
"– говорил он, – суееу histoire","– говорил он, – cette histoire"
"того, что им предписано, и в каком gjkj;tybb","того, что им предписано, и в каком положении"
"же, как и обыкновенно, ;bkb по двое, по трое в раскрытых полуразоренных домах.","же, как и обыкновенно, жили по двое, по трое в раскрытых полуразоренных домах."
балаганом зашлепали по грязи ноги ytcrjkmrb[ лошадей. ростов не позаботился,балаганом зашлепали по грязи ноги нескольких лошадей. ростов не позаботился
"берг воспользовался случаем спросить с особенною учтивостию, будут ли выдавать теперь, rfr слышно","берг воспользовался случаем спросить с особенною учтивостию, будут ли выдавать теперь, как слышно"
"вот княжовы свечи венчальные перед угодником зажечь принесла, мой","вот княжовы свечи венчальные перед угодником зажечь принесла, мой"
"анна павловна шерер, фрейлина и приближенная императрицы vfhbb","анна павловна шерер, фрейлина и приближенная императрицы марии"
дочерью. к прежним предлогам насмешек прибавился еще новый – разговор о мачехе,дочерью. к прежним предлогам насмешек прибавился еще новый – разговор о мачехе
граф сидел между ними b внимательно слушал.,граф сидел между ними и внимательно слушал.
